Removed Pin From Net: NetName=3.3VD Pin=C10-1
Removed Pin From Net: NetName=3.3VD Pin=C11-1
Removed Pin From Net: NetName=GND Pin=U3-8
Removed Pin From Net: NetName=74HC148_Status_LED Pin=U3-14
Removed Pin From Net: NetName=3.3VD Pin=U3-16
Change Component Footprint: Designator=C9 Old Footprint=CAPC0603(1608)100_N New Footprint=FP-GRM155-0_05-IPC_A
Change Component Footprint: Designator=C10 Old Footprint=CAPC0603(1608)100_N New Footprint=FP-GRM155-0_05-IPC_A
Change Component Footprint: Designator=C11 Old Footprint=CAPC0603(1608)100_N New Footprint=FP-GRM155-0_05-IPC_A
Change Component Footprint: Designator=U3 Old Footprint=D0016A_N New Footprint=TQFP100_N
Change Component Footprint: Designator=U1 Old Footprint=SLAB-QFN-24-2550X2550TP_A_V New Footprint=SLAB-QFN-24-2550x2550TP_A_V
Change Component Comment : Designator=C9 Old Comment=CAP 1uF 25V 0603(1608) New Comment=0.1uF
Change Component Comment : Designator=C11 Old Comment=CAP 100nF 6.3V New Comment=0.01uF
Change Component Comment : Designator=C10 Old Comment=CAP 100uF 6.3V New Comment=0.1uF
Change Component Comment : Designator=U3 Old Comment=SN74HC148DRG4 New Comment=LCMXO2-256HC-4TG100I
Change Component Designator: OldDesignator=LED4 NewDesignator=LED5
Change Component Designator: OldDesignator=LED5 NewDesignator=LED6
Change Component Designator: OldDesignator=P2 NewDesignator=P5
Change Component Designator: OldDesignator=P3 NewDesignator=P4
Change Component Designator: OldDesignator=R1 NewDesignator=R7
Change Component Designator: OldDesignator=R7 NewDesignator=R8
Change Managed Component Library Link : Designator=C9 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=FF6A6C72-D41F-48D5-9F6B-1B5F83D1AA7B New ItemGUID=387617DD-368F-453F-A016-40A59C9578F5 Old RevisionGUID=AC81C066-ACC2-49A8-AE69-4D0267DFDA8E New RevisionGUID=C8ACAF9B-D09C-4F44-83E7-AA9814264406
Change Managed Component Library Link : Designator=C10 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=A5C07A10-8D0E-4A92-95CE-1B78142C97B3 New ItemGUID=387617DD-368F-453F-A016-40A59C9578F5 Old RevisionGUID=AAC0A3AD-DBD2-4FB5-BCD6-24CE06E5BB6A New RevisionGUID=C8ACAF9B-D09C-4F44-83E7-AA9814264406
Change Managed Component Library Link : Designator=C11 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=A5C07A10-8D0E-4A92-95CE-1B78142C97B3 New ItemGUID=387617DD-368F-453F-A016-40A59C9578F5 Old RevisionGUID=AAC0A3AD-DBD2-4FB5-BCD6-24CE06E5BB6A New RevisionGUID=C8ACAF9B-D09C-4F44-83E7-AA9814264406
Change Managed Component Library Link : Designator=U3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=95171875-0CF8-4C2D-A75C-FA11634B6347 New ItemGUID=21B68FE1-2A25-493C-BC97-1059CA840472 Old RevisionGUID=F281BEC8-6FDC-4275-9EA6-DE3CFC84912D New RevisionGUID=5F80F9DC-E6A2-4A23-A754-B21724C69255
Change Managed Component Library Link : Designator=U1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=93933755-533F-4928-8D22-D19A84AE1526 New ItemGUID= Old RevisionGUID=7BAF6B79-E069-4F8D-8ADF-F5030186515E New RevisionGUID=
Change component parameters: Designator = "U3" ("U3"); Footprint = "D0016A_N"; UniqueID = "\IXFULSAW" ("\IXFULSAW")
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MS-026-BED"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "ver01.0, Nov-2010"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "100-Pin Thin Quad Flat Pack (TQFP100)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "TQFP100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "ver02.6, Nov-2010"; VariantName = "[No Variations]"
Change component parameters: Designator = "C9" ("C9"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\JCZRPYGD" ("\JCZRPYGD")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "220nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "1005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Resistance"; Value = "10GR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "GRM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Thickness"; Value = "0.022inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "10V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C10" ("C10"); Footprint = "CAPC0603(1608)100_N"; UniqueID = "\WQEJYXYZ" ("\WQEJYXYZ")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "220nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "0402"; VariantName = "[No Variations]"
